Broad_ID,Name,SMILES,Mean_Inhibition,ClinTox (low = less predicted toxicity)
BRD-A72603112-236-04-0,thiopental,CCCC(C)C1(CC)C(=O)NC(S)=NC1=O,0.82542,
BRD-A82522119-001-01-7,tibolone,C[C@@H]1CC2=C(CCC(=O)C2)[C@H]2CC[C@@]3(C)[C@H](CC[C@@]3(O)C#C)C12,0.83088,
BRD-K15600710-066-04-1,obatoclax,COC1=CC(=N\C\1=C/c1[nH]c(C)cc1C)c1cc2ccccc2[nH]1,0.61386,
BRD-K62412084-001-07-1,para-toluenesulfonamide,Cc1ccc(cc1)S(N)(=O)=O,0.8055,
BRD-K17743125-001-08-4,belinostat,ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1,0.79626,
BRD-K58486055-001-02-7,reparixin,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)NS(C)(=O)=O,0.79122,
BRD-K13819402-003-10-2,desoxypeganine,C1CN2Cc3ccccc3N=C2C1,0.79746,
BRD-K66584608-001-01-3,TY-52156,CC(C)(C)C(=O)C(\NNc1ccc(Cl)cc1)=N\c1ccc(Cl)cc1,0.87432,
BRD-K11244467-001-08-5,ambazone,NC(=N)N=Nc1ccc(NNC(S)=N)cc1,0.79998,
BRD-K17896185-001-02-0,FIT,CCC(=O)N(C1CCN(CCc2ccc(cc2)N=C=S)CC1)c1ccccc1,0.80208,
BRD-K10852420-001-02-5,AH-7614,Cc1ccc(cc1)S(=O)(=O)NC1c2ccccc2Oc2ccccc12,0.81318,
BRD-A08302182-001-01-7,etonogestrel,CCC12CC(=C)C3C(CCC4=CC(=O)CCC34)C1CC[C@@]2(O)C#C,0.82572,
BRD-A67949680-050-01-7,BRL-44408,CC1N(CC2=NCCN2)Cc2ccccc12,0.80604,
BRD-K06182768-001-04-9,A-366,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,0.8271,
BRD-A64808605-003-02-7,AH11110,OC(COc1ccccc1-c1ccccc1)CC(=N)N1CCCCC1,0.80208,
BRD-K20801936-001-01-9,fosfestrol,CC\C(c1ccc(OP(O)(O)=O)cc1)=C(\CC)c1ccc(OP(O)(O)=O)cc1,0.81846,
BRD-K96799727-001-07-4,pifithrin-mu,NS(=O)(=O)C#Cc1ccccc1,0.28968,
BRD-K64178227-001-09-0,BTS,Cc1ccc(cc1)S(=O)(=O)NCc1ccccc1,0.8121,
BRD-A23970436-236-04-2,thiamylal,CCCC(C)C1(CC=C)C(=O)NC(S)=NC1=O,0.76692,
BRD-K23791635-001-01-3,AFN-1252,CN(Cc1oc2ccccc2c1C)C(=O)\C=C\C1=CNC2=NC(=O)CCC2=C1,0.05915,
BRD-K79633074-001-01-8,xilobam,CN1CCC\C1=N\C(=O)Nc1c(C)cccc1C,0.80634,
BRD-K22745370-003-02-3,2-BFI,C1CN=C(N1)c1cc2ccccc2o1,0.79218,
BRD-K89634775-001-09-9,allylthiourea,NC(S)=NCC=C,0.7905,
BRD-K34341643-001-01-4,glasdegib,CN1CC[C@H](C[C@@H]1c1nc2ccccc2[nH]1)NC(=O)Nc1ccc(cc1)C#N,0.79962,
BRD-K66019333-096-02-0,oxantel,CN1CCCN=C1\C=C\c1cccc(O)c1,0.83124,
